week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
9/26/2020,9/19/2020,04000US08,Colorado,4862,143856,2681376,5.37,1.60109E+12,"September 26th, 2020",04000US08,Colorado
9/26/2020,9/19/2020,04000US22,Louisiana,16296,214860,1889866,11.37,1.60109E+12,"September 26th, 2020",04000US22,Louisiana
9/26/2020,9/19/2020,04000US27,Minnesota,9339,174779,2868184,6.09,1.60109E+12,"September 26th, 2020",04000US27,Minnesota
9/26/2020,9/19/2020,04000US34,New Jersey,27184,322414,4034480,7.99,1.60109E+12,"September 26th, 2020",04000US34,New Jersey
9/26/2020,9/19/2020,04000US55,Wisconsin,11185,119104,2855007,4.17,1.60109E+12,"September 26th, 2020",04000US55,Wisconsin
9/19/2020,9/12/2020,04000US08,Colorado,5115,151250,2681376,5.64,1.60049E+12,"September 19th, 2020",04000US08,Colorado
9/19/2020,9/12/2020,04000US22,Louisiana,14842,238724,1889866,12.63,1.60049E+12,"September 19th, 2020",04000US22,Louisiana
9/19/2020,9/12/2020,04000US27,Minnesota,10901,192217,2868184,6.7,1.60049E+12,"September 19th, 2020",04000US27,Minnesota
9/19/2020,9/12/2020,04000US34,New Jersey,24680,353590,4034480,8.76,1.60049E+12,"September 19th, 2020",04000US34,New Jersey
9/19/2020,9/12/2020,04000US55,Wisconsin,12178,128663,2855007,4.51,1.60049E+12,"September 19th, 2020",04000US55,Wisconsin
9/12/2020,9/5/2020,04000US08,Colorado,5171,157091,2681376,5.86,1.59988E+12,"September 12th, 2020",04000US08,Colorado
9/12/2020,9/5/2020,04000US22,Louisiana,16182,250244,1889866,13.24,1.59988E+12,"September 12th, 2020",04000US22,Louisiana
9/12/2020,9/5/2020,04000US27,Minnesota,11181,207645,2868184,7.24,1.59988E+12,"September 12th, 2020",04000US27,Minnesota
9/12/2020,9/5/2020,04000US34,New Jersey,19642,366673,4034480,9.09,1.59988E+12,"September 12th, 2020",04000US34,New Jersey
9/12/2020,9/5/2020,04000US55,Wisconsin,11709,130672,2855007,4.58,1.59988E+12,"September 12th, 2020",04000US55,Wisconsin
9/5/2020,8/29/2020,04000US08,Colorado,6031,162261,2681376,6.05,1.59928E+12,"September 5th, 2020",04000US08,Colorado
9/5/2020,8/29/2020,04000US22,Louisiana,24566,256184,1889866,13.56,1.59928E+12,"September 5th, 2020",04000US22,Louisiana
9/5/2020,8/29/2020,04000US27,Minnesota,11038,212993,2868184,7.43,1.59928E+12,"September 5th, 2020",04000US27,Minnesota
9/5/2020,8/29/2020,04000US34,New Jersey,22750,388233,4034480,9.62,1.59928E+12,"September 5th, 2020",04000US34,New Jersey
9/5/2020,8/29/2020,04000US55,Wisconsin,12238,138621,2855007,4.86,1.59928E+12,"September 5th, 2020",04000US55,Wisconsin
8/29/2020,8/22/2020,04000US08,Colorado,5863,177822,2681376,6.63,1.59867E+12,"August 29th, 2020",04000US08,Colorado
8/29/2020,8/22/2020,04000US22,Louisiana,16191,249610,1889866,13.21,1.59867E+12,"August 29th, 2020",04000US22,Louisiana
8/29/2020,8/22/2020,04000US27,Minnesota,10295,219557,2868184,7.65,1.59867E+12,"August 29th, 2020",04000US27,Minnesota
8/29/2020,8/22/2020,04000US34,New Jersey,20348,410830,4034480,10.18,1.59867E+12,"August 29th, 2020",04000US34,New Jersey
8/29/2020,8/22/2020,04000US55,Wisconsin,12457,150900,2855007,5.29,1.59867E+12,"August 29th, 2020",04000US55,Wisconsin
8/22/2020,8/15/2020,04000US08,Colorado,6483,180390,2681376,6.73,1.59807E+12,"August 22nd, 2020",04000US08,Colorado
8/22/2020,8/15/2020,04000US22,Louisiana,12529,250720,1889866,13.27,1.59807E+12,"August 22nd, 2020",04000US22,Louisiana
8/22/2020,8/15/2020,04000US27,Minnesota,10817,231989,2868184,8.09,1.59807E+12,"August 22nd, 2020",04000US27,Minnesota
8/22/2020,8/15/2020,04000US34,New Jersey,20182,411019,4034480,10.19,1.59807E+12,"August 22nd, 2020",04000US34,New Jersey
8/22/2020,8/15/2020,04000US55,Wisconsin,13879,161697,2855007,5.66,1.59807E+12,"August 22nd, 2020",04000US55,Wisconsin
8/15/2020,8/8/2020,04000US08,Colorado,6971,197296,2681376,7.36,1.59746E+12,"August 15th, 2020",04000US08,Colorado
8/15/2020,8/8/2020,04000US22,Louisiana,14365,255068,1889866,13.5,1.59746E+12,"August 15th, 2020",04000US22,Louisiana
8/15/2020,8/8/2020,04000US27,Minnesota,12081,244418,2868184,8.52,1.59746E+12,"August 15th, 2020",04000US27,Minnesota
8/15/2020,8/8/2020,04000US34,New Jersey,25417,420062,4034480,10.41,1.59746E+12,"August 15th, 2020",04000US34,New Jersey
8/15/2020,8/8/2020,04000US55,Wisconsin,14834,173270,2855007,6.07,1.59746E+12,"August 15th, 2020",04000US55,Wisconsin
8/8/2020,8/1/2020,04000US08,Colorado,6231,198702,2681376,7.41,1.59686E+12,"August 8th, 2020",04000US08,Colorado
8/8/2020,8/1/2020,04000US22,Louisiana,11131,299974,1889866,15.87,1.59686E+12,"August 8th, 2020",04000US22,Louisiana
8/8/2020,8/1/2020,04000US27,Minnesota,9087,259525,2868184,9.05,1.59686E+12,"August 8th, 2020",04000US27,Minnesota
8/8/2020,8/1/2020,04000US34,New Jersey,13837,426519,4034480,10.57,1.59686E+12,"August 8th, 2020",04000US34,New Jersey
8/8/2020,8/1/2020,04000US55,Wisconsin,14257,180146,2855007,6.31,1.59686E+12,"August 8th, 2020",04000US55,Wisconsin
8/1/2020,7/25/2020,04000US08,Colorado,7167,224130,2681376,8.36,1.59625E+12,"August 1st, 2020",04000US08,Colorado
8/1/2020,7/25/2020,04000US22,Louisiana,13402,327467,1889866,17.33,1.59625E+12,"August 1st, 2020",04000US22,Louisiana
8/1/2020,7/25/2020,04000US27,Minnesota,12315,288215,2868184,10.05,1.59625E+12,"August 1st, 2020",04000US27,Minnesota
8/1/2020,7/25/2020,04000US34,New Jersey,16584,467370,4034480,11.58,1.59625E+12,"August 1st, 2020",04000US34,New Jersey
8/1/2020,7/25/2020,04000US55,Wisconsin,19196,208649,2855007,7.31,1.59625E+12,"August 1st, 2020",04000US55,Wisconsin
7/25/2020,7/18/2020,04000US08,Colorado,8037,224204,2681376,8.36,1.59565E+12,"July 25th, 2020",04000US08,Colorado
7/25/2020,7/18/2020,04000US22,Louisiana,18511,324357,1889866,17.16,1.59565E+12,"July 25th, 2020",04000US22,Louisiana
7/25/2020,7/18/2020,04000US27,Minnesota,15311,305530,2868184,10.65,1.59565E+12,"July 25th, 2020",04000US27,Minnesota
7/25/2020,7/18/2020,04000US34,New Jersey,28073,485809,4034480,12.04,1.59565E+12,"July 25th, 2020",04000US34,New Jersey
7/25/2020,7/18/2020,04000US55,Wisconsin,23026,211944,2855007,7.42,1.59565E+12,"July 25th, 2020",04000US55,Wisconsin
7/18/2020,7/11/2020,04000US08,Colorado,8531,239098,2681376,8.92,1.59504E+12,"July 18th, 2020",04000US08,Colorado
7/18/2020,7/11/2020,04000US22,Louisiana,32079,313117,1889866,16.57,1.59504E+12,"July 18th, 2020",04000US22,Louisiana
7/18/2020,7/11/2020,04000US27,Minnesota,17706,314937,2868184,10.98,1.59504E+12,"July 18th, 2020",04000US27,Minnesota
7/18/2020,7/11/2020,04000US34,New Jersey,25932,476539,4034480,11.81,1.59504E+12,"July 18th, 2020",04000US34,New Jersey
7/18/2020,7/11/2020,04000US55,Wisconsin,25129,218606,2855007,7.66,1.59504E+12,"July 18th, 2020",04000US55,Wisconsin
7/11/2020,7/4/2020,04000US08,Colorado,10554,228224,2681376,8.51,1.59444E+12,"July 11th, 2020",04000US08,Colorado
7/11/2020,7/4/2020,04000US22,Louisiana,26351,312893,1889866,16.56,1.59444E+12,"July 11th, 2020",04000US22,Louisiana
7/11/2020,7/4/2020,04000US27,Minnesota,21637,332040,2868184,11.58,1.59444E+12,"July 11th, 2020",04000US27,Minnesota
7/11/2020,7/4/2020,04000US34,New Jersey,38825,491296,4034480,12.18,1.59444E+12,"July 11th, 2020",04000US34,New Jersey
7/11/2020,7/4/2020,04000US55,Wisconsin,29051,224765,2855007,7.87,1.59444E+12,"July 11th, 2020",04000US55,Wisconsin
7/4/2020,6/27/2020,04000US08,Colorado,7928,246108,2666358,9.23,1.59384E+12,"July 4th, 2020",04000US08,Colorado
7/4/2020,6/27/2020,04000US22,Louisiana,31417,313157,1891334,16.56,1.59384E+12,"July 4th, 2020",04000US22,Louisiana
7/4/2020,6/27/2020,04000US27,Minnesota,19362,326245,2864234,11.39,1.59384E+12,"July 4th, 2020",04000US27,Minnesota
7/4/2020,6/27/2020,04000US34,New Jersey,47402,491778,4025826,12.22,1.59384E+12,"July 4th, 2020",04000US34,New Jersey
7/4/2020,6/27/2020,04000US55,Wisconsin,27385,218553,2853837,7.66,1.59384E+12,"July 4th, 2020",04000US55,Wisconsin
6/27/2020,6/20/2020,04000US08,Colorado,8646,237236,2666358,8.9,1.59323E+12,"June 27th, 2020",04000US08,Colorado
6/27/2020,6/20/2020,04000US22,Louisiana,21976,306089,1891334,16.18,1.59323E+12,"June 27th, 2020",04000US22,Louisiana
6/27/2020,6/20/2020,04000US27,Minnesota,19373,337382,2864234,11.78,1.59323E+12,"June 27th, 2020",04000US27,Minnesota
6/27/2020,6/20/2020,04000US34,New Jersey,27992,519167,4025826,12.9,1.59323E+12,"June 27th, 2020",04000US34,New Jersey
6/27/2020,6/20/2020,04000US55,Wisconsin,24925,222897,2853837,7.81,1.59323E+12,"June 27th, 2020",04000US55,Wisconsin
6/20/2020,6/13/2020,04000US08,Colorado,10013,259341,2666358,9.73,1.59263E+12,"June 20th, 2020",04000US08,Colorado
6/20/2020,6/13/2020,04000US22,Louisiana,19524,300389,1891334,15.88,1.59263E+12,"June 20th, 2020",04000US22,Louisiana
6/20/2020,6/13/2020,04000US27,Minnesota,20487,351772,2864234,12.28,1.59263E+12,"June 20th, 2020",04000US27,Minnesota
6/20/2020,6/13/2020,04000US34,New Jersey,33027,528173,4025826,13.12,1.59263E+12,"June 20th, 2020",04000US34,New Jersey
6/20/2020,6/13/2020,04000US55,Wisconsin,25428,225424,2853837,7.9,1.59263E+12,"June 20th, 2020",04000US55,Wisconsin
6/13/2020,6/6/2020,04000US08,Colorado,10382,242785,2666358,9.11,1.59202E+12,"June 13th, 2020",04000US08,Colorado
6/13/2020,6/6/2020,04000US22,Louisiana,23122,306358,1891334,16.2,1.59202E+12,"June 13th, 2020",04000US22,Louisiana
6/13/2020,6/6/2020,04000US27,Minnesota,24696,371930,2864234,12.99,1.59202E+12,"June 13th, 2020",04000US27,Minnesota
6/13/2020,6/6/2020,04000US34,New Jersey,26438,538269,4025826,13.37,1.59202E+12,"June 13th, 2020",04000US34,New Jersey
6/13/2020,6/6/2020,04000US55,Wisconsin,25543,238528,2853837,8.36,1.59202E+12,"June 13th, 2020",04000US55,Wisconsin
6/6/2020,5/30/2020,04000US08,Colorado,13098,263810,2666358,9.89,1.59142E+12,"June 6th, 2020",04000US08,Colorado
6/6/2020,5/30/2020,04000US22,Louisiana,21879,305083,1891334,16.13,1.59142E+12,"June 6th, 2020",04000US22,Louisiana
6/6/2020,5/30/2020,04000US27,Minnesota,28311,398799,2864234,13.92,1.59142E+12,"June 6th, 2020",04000US27,Minnesota
6/6/2020,5/30/2020,04000US34,New Jersey,23166,559057,4025826,13.89,1.59142E+12,"June 6th, 2020",04000US34,New Jersey
6/6/2020,5/30/2020,04000US55,Wisconsin,25047,255805,2853837,8.96,1.59142E+12,"June 6th, 2020",04000US55,Wisconsin
5/30/2020,5/23/2020,04000US08,Colorado,12519,244600,2666358,9.17,1.59081E+12,"May 30th, 2020",04000US08,Colorado
5/30/2020,5/23/2020,04000US22,Louisiana,19334,301598,1891334,15.95,1.59081E+12,"May 30th, 2020",04000US22,Louisiana
5/30/2020,5/23/2020,04000US27,Minnesota,21654,397899,2864234,13.89,1.59081E+12,"May 30th, 2020",04000US27,Minnesota
5/30/2020,5/23/2020,04000US34,New Jersey,26752,547913,4025826,13.61,1.59081E+12,"May 30th, 2020",04000US34,New Jersey
5/30/2020,5/23/2020,04000US55,Wisconsin,24661,269678,2853837,9.45,1.59081E+12,"May 30th, 2020",04000US55,Wisconsin
5/23/2020,5/16/2020,04000US08,Colorado,15719,265499,2666358,9.96,1.59021E+12,"May 23rd, 2020",04000US08,Colorado
5/23/2020,5/16/2020,04000US22,Louisiana,23961,328409,1891334,17.36,1.59021E+12,"May 23rd, 2020",04000US22,Louisiana
5/23/2020,5/16/2020,04000US27,Minnesota,27211,416668,2864234,14.55,1.59021E+12,"May 23rd, 2020",04000US27,Minnesota
5/23/2020,5/16/2020,04000US34,New Jersey,34410,586532,4025826,14.57,1.59021E+12,"May 23rd, 2020",04000US34,New Jersey
5/23/2020,5/16/2020,04000US55,Wisconsin,28967,291677,2853837,10.22,1.59021E+12,"May 23rd, 2020",04000US55,Wisconsin
5/16/2020,5/9/2020,04000US08,Colorado,18054,246507,2666358,9.25,1.5896E+12,"May 16th, 2020",04000US08,Colorado
5/16/2020,5/9/2020,04000US22,Louisiana,28545,326504,1891334,17.26,1.5896E+12,"May 16th, 2020",04000US22,Louisiana
5/16/2020,5/9/2020,04000US27,Minnesota,28893,427690,2864234,14.93,1.5896E+12,"May 16th, 2020",04000US27,Minnesota
5/16/2020,5/9/2020,04000US34,New Jersey,42365,601770,4025826,14.95,1.5896E+12,"May 16th, 2020",04000US34,New Jersey
5/16/2020,5/9/2020,04000US55,Wisconsin,31287,308397,2853837,10.81,1.5896E+12,"May 16th, 2020",04000US55,Wisconsin
5/9/2020,5/2/2020,04000US08,Colorado,22732,261951,2666358,9.82,1.589E+12,"May 9th, 2020",04000US08,Colorado
