Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,1/5/2019,34,NJ,34021,Mercer County,"79,788","288,893","1,387,288","370,671","386,967","171,536","195,912","157,125","67,023","28,717","6,892","1,013","1,432"
County,1/5/2019,34,NJ,34023,Middlesex County,"168,341","658,808","3,140,089","869,754","791,576","382,970","436,556","404,436","193,947","39,677","14,564","2,416","4,193"
County,1/5/2019,34,NJ,34025,Monmouth County,"117,301","502,154","2,431,206","642,995","644,299","301,471","338,059","289,636","149,748","47,398","10,848","2,297","4,455"
County,1/5/2019,34,NJ,34027,Morris County,"93,834","398,883","1,904,108","452,429","517,326","239,130","291,654","260,801","105,731","24,110","8,781","1,780","2,366"
County,1/5/2019,34,NJ,34029,Ocean County,"115,940","483,872","2,266,133","538,226","600,563","264,845","316,071","298,680","148,009","81,129","11,127","1,916","5,567"
County,1/5/2019,34,NJ,34031,Passaic County,"105,857","395,915","1,938,181","552,104","481,080","230,881","304,473","274,150","64,680","20,278","8,043","1,521",971
County,1/5/2019,34,NJ,34033,Salem County,"12,593","49,823","236,856","60,977","45,742","28,250","39,570","43,286","14,001","2,996","1,515",311,208
County,1/5/2019,34,NJ,34035,Somerset County,"59,771","270,381","1,278,561","308,817","328,459","156,558","203,325","175,220","80,928","16,385","6,047","1,179","1,643"
County,1/5/2019,34,NJ,34037,Sussex County,"25,910","114,459","547,764","117,323","132,618","68,399","79,465","90,762","43,205","12,656","2,397",306,633
County,1/5/2019,34,NJ,34039,Union County,"120,557","435,804","2,124,942","645,621","574,102","244,846","269,053","268,287","81,823","21,470","13,167","2,632","3,941"
County,1/5/2019,34,NJ,34041,Warren County,"19,510","85,946","410,547","100,606","86,167","47,201","54,197","74,176","31,133","14,802","1,654",135,476
State,1/1/2019,34,NJ,,,"2,244,189","6,637,104","26,078,674","7,491,874","6,764,617","3,009,746","3,582,118","3,262,723","1,233,743","486,493","155,179","28,397","63,784"
State,1/2/2019,34,NJ,,,"1,731,052","7,150,241","33,163,866","9,107,714","8,178,954","3,859,369","4,725,420","4,745,313","1,785,523","527,427","148,811","28,995","56,340"
State,1/3/2019,34,NJ,,,"1,788,908","7,092,385","33,608,060","9,354,057","8,290,603","3,865,513","4,755,100","4,785,493","1,797,404","517,838","155,745","32,247","54,060"
State,1/4/2019,34,NJ,,,"1,773,847","7,107,446","33,848,419","9,171,424","8,430,023","3,961,243","4,897,246","4,833,048","1,770,095","530,905","169,126","32,152","53,157"
State,1/5/2019,34,NJ,,,"1,872,669","7,008,624","33,483,316","9,238,758","8,653,781","4,059,032","4,836,479","4,365,120","1,547,170","531,535","170,565","31,054","49,822"
County,1/6/2019,34,NJ,34001,Atlantic County,"57,687","206,931","905,335","234,492","224,643","100,019","158,085","120,419","38,327","21,529","6,178",590,"1,053"
County,1/6/2019,34,NJ,34003,Bergen County,"201,777","732,052","3,258,066","956,665","871,596","380,094","489,047","393,190","102,527","41,814","16,888","3,073","3,172"
County,1/6/2019,34,NJ,34005,Burlington County,"88,661","355,362","1,531,857","380,088","376,166","193,542","243,621","230,985","64,526","30,283","9,312","1,507","1,827"
County,1/6/2019,34,NJ,34007,Camden County,"113,587","391,941","1,756,313","509,877","452,277","221,142","259,193","219,713","55,880","25,466","10,038","1,147","1,580"
