Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,3/14/2020,34,NJ,34031,Passaic County,"112,633","390,677","2,186,537","662,367","558,690","244,200","335,855","295,431","58,613","14,652","12,028","2,339","2,362"
County,3/14/2020,34,NJ,34033,Salem County,"14,241","48,366","273,082","81,267","52,496","24,832","42,934","46,276","17,058","4,769","2,413",561,476
County,3/14/2020,34,NJ,34035,Somerset County,"74,928","256,236","1,290,737","373,212","310,027","146,425","178,013","181,259","77,382","12,688","4,733","1,535","5,463"
County,3/14/2020,34,NJ,34037,Sussex County,"30,898","109,901","508,449","101,235","140,690","49,322","89,372","71,730","39,887","10,736","3,265",446,"1,766"
County,3/14/2020,34,NJ,34039,Union County,"131,133","426,934","2,465,215","790,508","625,823","283,372","324,792","316,057","78,657","23,247","10,617","4,971","7,171"
County,3/14/2020,34,NJ,34041,Warren County,"22,703","83,076","443,651","114,433","118,257","53,173","51,570","62,397","24,490","17,317","1,265",99,650
State,3/8/2020,34,NJ,,,"2,077,587","6,830,933","33,929,836","9,454,666","8,913,963","4,117,882","4,906,532","4,314,861","1,414,421","536,976","192,552","42,460","35,523"
State,3/9/2020,34,NJ,,,"1,868,216","7,040,304","38,613,440","11,300,748","9,373,358","4,295,291","5,448,400","5,470,504","1,970,531","550,762","145,774","30,090","27,982"
State,3/10/2020,34,NJ,,,"1,842,806","7,065,714","37,515,176","10,582,681","9,136,983","4,185,722","5,365,112","5,482,424","1,999,552","553,695","150,580","31,001","27,426"
State,3/11/2020,34,NJ,,,"1,688,063","7,220,457","39,103,136","11,337,698","9,389,169","4,249,640","5,422,833","5,556,389","2,155,234","677,308","205,858","48,158","60,849"
State,3/12/2020,34,NJ,,,"1,760,050","7,148,470","38,236,791","11,188,018","9,144,036","4,117,048","5,216,726","5,428,131","2,099,523","702,864","232,116","51,799","56,530"
State,3/13/2020,34,NJ,,,"1,695,877","7,212,643","40,982,883","12,382,030","10,093,287","4,497,495","5,601,139","5,496,399","1,916,401","663,354","220,621","50,560","61,597"
State,3/14/2020,34,NJ,,,"2,111,772","6,796,748","36,922,985","11,173,803","9,339,055","4,157,149","5,139,167","4,628,281","1,546,876","591,949","223,579","57,004","66,122"
County,3/15/2020,34,NJ,34001,Atlantic County,"72,408","193,021","931,581","232,098","238,002","107,256","175,200","112,742","41,523","19,321","4,173",725,541
County,3/15/2020,34,NJ,34003,Bergen County,"293,292","643,400","3,015,589","924,046","832,125","345,037","428,715","329,720","87,276","33,194","24,326","6,460","4,690"
County,3/15/2020,34,NJ,34005,Burlington County,"123,586","321,798","1,536,783","422,739","407,997","186,160","217,395","210,421","56,326","21,941","9,445","2,577","1,782"
County,3/15/2020,34,NJ,34007,Camden County,"144,761","362,317","1,777,413","521,077","494,024","222,604","261,875","189,315","51,470","25,849","8,879","1,270","1,050"
County,3/15/2020,34,NJ,34009,Cape May County,"28,887","63,673","295,578","72,046","74,335","41,618","52,171","34,127","13,154","5,164","2,186",570,207
County,3/15/2020,34,NJ,34011,Cumberland County,"38,635","112,337","553,913","143,964","146,661","70,328","82,367","68,154","32,469","6,295","3,024",394,257
County,3/15/2020,34,NJ,34013,Essex County,"247,348","552,419","2,707,704","861,523","759,594","336,869","357,728","277,557","67,901","28,046","12,823","3,143","2,520"
County,3/15/2020,34,NJ,34015,Gloucester County,"77,510","213,898","1,021,951","245,789","278,090","131,705","157,898","143,086","37,949","17,490","8,183","1,406",355
County,3/15/2020,34,NJ,34017,Hudson County,"247,736","428,325","2,101,927","793,501","633,420","214,415","211,824","165,397","51,495","16,506","12,148","1,724","1,497"
County,3/15/2020,34,NJ,34019,Hunterdon County,"30,151","94,563","462,406","101,184","114,860","56,311","73,772","72,275","26,352","13,772","2,436",480,964
County,3/15/2020,34,NJ,34021,Mercer County,"105,143","264,668","1,296,705","367,178","383,367","165,327","174,702","126,727","48,405","19,171","8,207","2,204","1,417"
County,3/15/2020,34,NJ,34023,Middlesex County,"234,474","595,211","2,810,770","765,119","772,590","353,313","398,461","339,604","129,817","31,929","13,636","4,416","1,885"
County,3/15/2020,34,NJ,34025,Monmouth County,"173,429","447,925","2,237,398","633,514","618,894","313,422","292,599","236,987","94,287","30,688","11,114","2,601","3,292"
County,3/15/2020,34,NJ,34027,Morris County,"139,065","355,163","1,632,021","413,893","451,664","209,871","255,031","201,335","68,581","16,058","9,927","1,556","4,105"
County,3/15/2020,34,NJ,34029,Ocean County,"158,616","443,035","2,169,070","557,659","637,995","275,623","286,571","240,357","97,513","59,079","9,234","2,842","2,197"
County,3/15/2020,34,NJ,34031,Passaic County,"145,180","358,130","1,745,434","525,113","478,560","209,498","237,649","215,984","49,186","13,593","12,804","1,581","1,466"
County,3/15/2020,34,NJ,34033,Salem County,"16,635","45,972","229,937","53,847","51,440","28,109","41,272","37,243","11,637","4,190","1,865",199,135
County,3/15/2020,34,NJ,34035,Somerset County,"90,267","240,897","1,069,446","257,968","295,600","141,029","162,666","137,839","51,761","13,026","5,496","1,534","2,527"
County,3/15/2020,34,NJ,34037,Sussex County,"36,179","104,620","457,661","101,411","121,429","50,049","74,895","71,093","28,600","6,620","2,581",287,696
County,3/15/2020,34,NJ,34039,Union County,"166,123","391,944","1,915,287","587,490","554,988","230,478","246,225","200,521","55,593","19,000","13,061","3,971","3,960"
County,3/15/2020,34,NJ,34041,Warren County,"26,905","78,874","378,426","95,621","100,990","44,834","50,434","52,448","18,332","13,006","1,896",548,317
County,3/16/2020,34,NJ,34001,Atlantic County,"63,728","201,701","1,107,778","286,043","269,987","131,119","192,473","144,218","53,338","25,048","4,749",444,359
County,3/16/2020,34,NJ,34003,Bergen County,"266,275","670,417","3,409,145","1,003,439","860,408","413,342","522,997","444,822","98,497","35,837","20,698","4,925","4,180"
County,3/16/2020,34,NJ,34005,Burlington County,"108,141","337,243","1,775,891","487,086","416,682","193,534","250,025","285,833","93,924","35,039","10,736","1,660","1,372"
County,3/16/2020,34,NJ,34007,Camden County,"129,801","377,277","2,020,692","593,045","495,990","226,821","296,633","284,993","76,618","31,967","12,269","1,318","1,038"
County,3/16/2020,34,NJ,34009,Cape May County,"25,211","67,349","384,821","104,409","103,080","50,297","62,285","44,744","12,746","5,384","1,339",385,152
County,3/16/2020,34,NJ,34011,Cumberland County,"33,988","116,984","676,896","180,779","166,986","80,605","92,399","93,015","46,679","11,106","4,989",167,171
County,3/16/2020,34,NJ,34013,Essex County,"222,018","577,749","3,077,752","961,897","798,659","377,468","405,798","411,224","80,705","24,142","12,501","2,650","2,708"
County,3/16/2020,34,NJ,34015,Gloucester County,"67,728","223,680","1,182,486","298,671","280,328","127,038","176,276","206,576","64,342","19,138","8,705","1,013",399
County,3/16/2020,34,NJ,34017,Hudson County,"228,219","447,842","2,270,114","806,707","631,168","249,460","270,039","217,417","61,343","19,740","10,798","1,712","1,730"
County,3/16/2020,34,NJ,34019,Hunterdon County,"27,840","96,874","514,657","121,245","112,414","52,138","75,012","95,038","39,666","16,109","1,831",373,831
County,3/16/2020,34,NJ,34021,Mercer County,"95,334","274,477","1,428,883","398,707","386,219","180,742","200,037","155,131","71,015","28,082","6,330","1,601","1,019"
County,3/16/2020,34,NJ,34023,Middlesex County,"211,792","617,893","3,140,305","879,765","734,819","372,800","447,140","459,794","197,940","29,443","12,410","4,581","1,613"
County,3/16/2020,34,NJ,34025,Monmouth County,"156,359","464,995","2,439,471","640,543","647,786","307,896","298,063","310,043","179,307","42,465","7,606","3,084","2,678"
County,3/16/2020,34,NJ,34027,Morris County,"125,320","368,908","1,815,611","433,234","459,560","209,105","269,237","303,357","109,956","19,790","6,723","1,154","3,495"
County,3/16/2020,34,NJ,34029,Ocean County,"141,832","459,819","2,405,782","598,565","633,752","269,985","311,832","318,903","161,019","97,697","9,278","2,293","2,458"
County,3/16/2020,34,NJ,34031,Passaic County,"127,782","375,528","1,951,705","549,099","510,077","217,645","297,077","287,832","64,200","12,702","9,818","1,632","1,623"
County,3/16/2020,34,NJ,34033,Salem County,"14,162","48,445","263,424","69,200","50,703","29,816","44,447","44,523","18,661","3,467","2,310",204,93
County,3/16/2020,34,NJ,34035,Somerset County,"83,919","247,245","1,261,888","316,984","305,253","156,321","180,469","196,748","85,290","14,270","3,226",863,"2,464"
County,3/16/2020,34,NJ,34037,Sussex County,"31,586","109,213","553,421","124,597","123,202","61,846","81,798","95,898","51,140","12,104","1,730",334,772
County,3/16/2020,34,NJ,34039,Union County,"148,118","409,949","2,185,693","681,683","554,012","238,760","290,598","295,532","84,493","23,738","10,714","2,847","3,316"
County,3/16/2020,34,NJ,34041,Warren County,"22,573","83,206","499,444","174,107","107,118","45,678","47,182","67,635","35,863","19,012","2,327",300,222
County,3/17/2020,34,NJ,34001,Atlantic County,"73,893","191,536","977,453","256,676","223,889","117,119","175,609","130,290","47,113","21,331","4,148",806,472
County,3/17/2020,34,NJ,34003,Bergen County,"297,136","639,556","3,089,681","890,047","783,239","357,688","477,885","430,023","92,302","31,722","18,516","4,769","3,490"
County,3/17/2020,34,NJ,34005,Burlington County,"119,710","325,674","1,615,668","458,354","361,457","169,591","230,612","261,791","85,732","33,805","10,946","1,996","1,384"
County,3/17/2020,34,NJ,34007,Camden County,"146,567","360,511","1,765,027","498,511","424,450","197,761","260,492","258,585","77,199","32,419","13,368","1,231","1,011"
County,3/17/2020,34,NJ,34009,Cape May County,"29,449","63,111","351,448","94,674","90,309","43,056","57,698","44,177","15,193","4,322","1,517",263,239
County,3/17/2020,34,NJ,34011,Cumberland County,"38,082","112,890","586,339","145,864","145,381","67,366","80,940","82,731","50,373","9,726","3,456",431,71
County,3/17/2020,34,NJ,34013,Essex County,"247,551","552,216","2,787,671","852,113","716,593","327,046","383,293","382,611","84,701","24,161","11,143","2,867","3,143"
County,3/17/2020,34,NJ,34015,Gloucester County,"76,100","215,308","1,077,192","276,525","241,369","115,775","160,946","188,243","64,457","18,759","9,794","1,027",297
County,3/17/2020,34,NJ,34017,Hudson County,"251,069","424,992","2,138,894","770,163","576,834","243,988","249,396","199,591","62,800","20,958","11,275","1,956","1,933"
County,3/17/2020,34,NJ,34019,Hunterdon County,"31,395","93,319","436,298","98,641","97,895","42,747","58,320","82,163","38,821","14,334","2,168",581,628
County,3/17/2020,34,NJ,34021,Mercer County,"107,810","262,001","1,302,000","385,175","353,310","148,512","165,012","144,978","65,922","28,311","8,279","1,378","1,123"
County,3/17/2020,34,NJ,34023,Middlesex County,"236,367","593,318","2,921,146","809,158","672,234","323,327","423,823","438,652","197,938","34,328","14,846","5,249","1,591"
County,3/17/2020,34,NJ,34025,Monmouth County,"175,296","446,058","2,190,198","585,646","552,343","247,756","285,069","299,353","168,217","41,089","6,961","1,562","2,202"
County,3/17/2020,34,NJ,34027,Morris County,"142,811","351,417","1,635,269","385,983","404,939","184,001","248,772","280,901","102,673","16,589","6,674","1,540","3,197"
County,3/17/2020,34,NJ,34029,Ocean County,"160,470","441,181","2,184,317","542,033","560,667","236,968","292,750","294,469","157,437","86,181","8,661","2,234","2,917"
County,3/17/2020,34,NJ,34031,Passaic County,"143,403","359,907","1,821,684","495,414","434,497","220,882","280,946","298,021","64,541","14,187","10,041","1,738","1,417"
County,3/17/2020,34,NJ,34033,Salem County,"15,445","47,162","232,448","52,324","44,657","25,302","43,844","43,324","17,087","3,518","1,990",294,108
County,3/17/2020,34,NJ,34035,Somerset County,"91,958","239,206","1,126,642","275,184","270,855","139,858","166,611","176,091","75,410","13,892","5,794",846,"2,101"
County,3/17/2020,34,NJ,34037,Sussex County,"35,515","105,284","495,235","107,822","119,448","50,746","73,193","83,086","46,708","11,071","2,235",248,678
County,3/17/2020,34,NJ,34039,Union County,"164,614","393,453","2,013,955","631,043","493,826","216,377","272,776","278,216","77,280","26,031","11,301","3,892","3,213"
County,3/17/2020,34,NJ,34041,Warren County,"25,279","80,500","465,230","167,488","98,363","36,880","43,033","66,012","34,039","17,355","1,535",381,144
County,3/18/2020,34,NJ,34001,Atlantic County,"76,782","188,647","994,011","264,199","242,527","110,596","173,356","128,107","48,890","20,635","4,760",541,400
County,3/18/2020,34,NJ,34003,Bergen County,"315,075","621,617","3,219,521","985,076","791,920","361,510","470,318","446,987","96,777","37,053","21,740","5,375","2,765"
County,3/18/2020,34,NJ,34005,Burlington County,"127,997","317,387","1,613,115","440,061","353,003","182,782","230,428","264,779","91,035","34,832","12,545","2,489","1,161"
County,3/18/2020,34,NJ,34007,Camden County,"154,658","352,420","1,794,694","526,157","415,684","197,479","267,645","259,967","76,772","34,318","14,502","1,179",991
County,3/18/2020,34,NJ,34009,Cape May County,"30,158","62,402","351,435","96,738","84,614","47,429","61,006","40,110","14,466","5,082","1,238",484,268
County,3/18/2020,34,NJ,34011,Cumberland County,"37,998","112,974","596,245","148,923","146,125","70,020","84,697","89,684","44,293","7,011","4,932",354,206
County,3/18/2020,34,NJ,34013,Essex County,"263,131","536,636","2,914,299","940,983","739,595","339,549","389,233","378,476","85,815","24,396","10,299","3,492","2,461"
County,3/18/2020,34,NJ,34015,Gloucester County,"81,728","209,680","1,069,421","273,874","241,531","111,436","166,336","186,994","57,804","20,764","9,230","1,057",395
County,3/18/2020,34,NJ,34017,Hudson County,"265,365","410,696","2,188,855","802,073","601,984","227,929","256,711","205,926","62,792","18,241","9,500","2,275","1,424"
County,3/18/2020,34,NJ,34019,Hunterdon County,"32,522","92,192","451,540","107,774","93,893","48,839","66,242","75,557","41,173","14,697","2,267",425,673
County,3/18/2020,34,NJ,34021,Mercer County,"112,092","257,719","1,365,662","402,380","365,588","165,057","181,826","148,684","63,725","27,342","8,443","1,567","1,050"
County,3/18/2020,34,NJ,34023,Middlesex County,"249,615","580,070","2,931,282","818,878","685,017","323,729","413,275","444,817","188,088","36,099","15,446","4,352","1,581"
County,3/18/2020,34,NJ,34025,Monmouth County,"185,696","435,658","2,228,158","605,698","551,989","273,538","298,112","289,506","158,445","41,287","5,771","2,140","1,672"
County,3/18/2020,34,NJ,34027,Morris County,"149,473","344,755","1,701,418","429,938","421,338","176,152","253,124","293,002","96,591","19,912","7,758","1,297","2,306"
County,3/18/2020,34,NJ,34029,Ocean County,"169,410","432,241","2,169,305","544,840","554,927","240,411","302,402","290,430","143,031","79,625","8,696","2,551","2,392"
County,3/18/2020,34,NJ,34031,Passaic County,"152,419","350,891","1,854,553","513,981","460,759","207,609","278,683","296,653","70,630","14,616","9,467","1,246",909
County,3/18/2020,34,NJ,34033,Salem County,"17,062","45,545","227,263","49,328","46,407","23,451","39,587","43,584","17,430","4,499","2,548",345,84
County,3/18/2020,34,NJ,34035,Somerset County,"98,003","233,161","1,108,981","259,054","273,456","131,696","172,069","175,727","75,911","14,055","5,021",437,"1,555"
County,3/18/2020,34,NJ,34037,Sussex County,"37,259","103,540","512,416","121,129","114,890","49,162","77,438","83,581","51,850","11,816","1,853",205,492
County,3/18/2020,34,NJ,34039,Union County,"176,125","381,942","2,070,350","638,287","513,070","215,265","279,745","301,018","81,654","23,205","11,407","3,589","3,110"
County,3/18/2020,34,NJ,34041,Warren County,"27,287","78,492","390,125","102,450","85,379","38,883","48,896","63,157","32,826","16,018","1,571",607,338
County,3/19/2020,34,NJ,34001,Atlantic County,"81,105","184,324","920,294","228,434","216,595","113,442","163,243","128,406","47,943","17,163","4,023",481,564
County,3/19/2020,34,NJ,34003,Bergen County,"326,907","609,785","2,979,911","888,098","755,637","342,760","450,897","393,171","86,081","32,287","21,491","5,829","3,660"
County,3/19/2020,34,NJ,34005,Burlington County,"134,055","311,329","1,555,038","430,771","356,080","169,637","223,123","254,974","75,050","30,633","10,898","2,607","1,265"
County,3/19/2020,34,NJ,34007,Camden County,"160,838","346,240","1,723,514","499,946","413,308","189,919","268,954","243,565","66,170","28,275","10,947","1,596",834
County,3/19/2020,34,NJ,34009,Cape May County,"31,433","61,127","338,084","96,563","81,715","43,536","58,580","39,702","11,842","4,475","1,163",316,192
County,3/19/2020,34,NJ,34011,Cumberland County,"40,510","110,462","570,491","143,769","148,713","66,652","74,707","84,377","41,729","6,220","3,637",491,196
County,3/19/2020,34,NJ,34013,Essex County,"272,302","527,465","2,789,424","899,036","719,258","327,140","370,754","346,274","85,072","25,088","11,459","2,521","2,822"
County,3/19/2020,34,NJ,34015,Gloucester County,"85,296","206,112","1,036,930","271,625","235,790","113,692","158,935","173,325","58,389","16,280","7,631",947,316
County,3/19/2020,34,NJ,34017,Hudson County,"269,209","406,852","2,076,833","764,166","558,716","217,951","247,833","194,048","57,036","20,204","13,276","2,229","1,374"
County,3/19/2020,34,NJ,34019,Hunterdon County,"33,648","91,066","449,136","99,900","106,169","41,957","67,335","78,173","36,204","15,799","2,697",549,353
County,3/19/2020,34,NJ,34021,Mercer County,"117,719","252,092","1,261,593","361,283","332,587","158,444","174,793","145,634","55,832","21,679","8,590","1,675","1,076"
County,3/19/2020,34,NJ,34023,Middlesex County,"257,132","572,553","2,812,159","788,135","666,049","304,355","385,275","424,896","187,220","32,977","15,698","5,894","1,660"
County,3/19/2020,34,NJ,34025,Monmouth County,"191,982","429,372","2,062,286","558,221","507,687","254,977","267,992","276,261","150,911","34,743","6,741","2,520","2,233"
County,3/19/2020,34,NJ,34027,Morris County,"156,283","337,945","1,534,623","360,037","382,988","175,380","237,651","260,542","90,403","17,781","5,567","1,672","2,602"
County,3/19/2020,34,NJ,34029,Ocean County,"176,723","424,928","2,079,647","513,301","543,920","235,682","296,623","261,515","143,710","72,028","8,503","2,019","2,346"
County,3/19/2020,34,NJ,34031,Passaic County,"156,917","346,393","1,718,832","480,682","409,015","189,530","261,063","290,123","64,490","13,600","6,903","2,058","1,368"
County,3/19/2020,34,NJ,34033,Salem County,"17,104","45,503","223,959","52,070","47,327","26,358","36,660","40,514","15,377","3,361","1,880",380,32
County,3/19/2020,34,NJ,34035,Somerset County,"101,421","229,743","1,035,662","256,481","242,238","130,324","156,270","156,573","75,111","11,734","4,214",787,"1,930"
County,3/19/2020,34,NJ,34037,Sussex County,"38,296","102,503","470,674","107,629","106,175","45,822","68,698","79,569","50,588","10,105","1,162",327,599
County,3/19/2020,34,NJ,34039,Union County,"178,985","379,082","1,984,546","630,068","484,303","206,652","271,864","275,769","75,266","21,388","12,153","4,017","3,066"
County,3/19/2020,34,NJ,34041,Warren County,"27,855","77,924","369,501","97,395","83,622","38,411","40,827","62,848","31,060","12,784","1,724",453,377
County,3/20/2020,34,NJ,34001,Atlantic County,"76,383","189,046","1,005,045","263,509","244,567","119,180","178,545","129,090","47,721","16,855","4,518",643,417
County,3/20/2020,34,NJ,34003,Bergen County,"312,027","624,665","3,143,395","966,033","824,469","350,970","451,488","397,388","92,641","33,412","17,718","5,506","3,770"
County,3/20/2020,34,NJ,34005,Burlington County,"127,400","317,984","1,684,165","475,644","417,292","183,564","241,312","247,028","75,565","27,966","11,127","3,332","1,335"
County,3/20/2020,34,NJ,34007,Camden County,"155,800","351,278","1,896,344","578,921","466,444","217,644","282,623","245,930","62,285","27,791","12,107","1,383","1,216"
County,3/20/2020,34,NJ,34009,Cape May County,"30,002","62,558","347,912","92,540","84,251","47,929","64,018","40,709","11,796","4,375","1,929",155,210
County,3/20/2020,34,NJ,34011,Cumberland County,"38,545","112,427","623,197","162,610","154,779","74,360","87,192","92,094","40,012","7,123","4,527",369,131
County,3/20/2020,34,NJ,34013,Essex County,"261,950","537,817","2,869,423","923,594","775,681","345,284","369,909","335,243","80,471","23,047","9,980","3,565","2,649"
County,3/20/2020,34,NJ,34015,Gloucester County,"80,596","210,812","1,117,827","287,716","260,352","133,344","170,893","181,312","57,474","17,002","8,186","1,010",538
County,3/20/2020,34,NJ,34017,Hudson County,"266,457","409,604","2,163,232","819,088","582,108","223,229","253,581","192,696","56,798","19,314","12,305","2,732","1,381"
County,3/20/2020,34,NJ,34019,Hunterdon County,"31,120","93,594","449,532","103,593","101,113","40,444","66,706","81,439","36,761","15,628","2,656",467,725
County,3/20/2020,34,NJ,34021,Mercer County,"113,262","256,549","1,420,045","440,570","397,912","184,452","172,926","135,440","57,163","19,280","9,080","1,926","1,296"
County,3/20/2020,34,NJ,34023,Middlesex County,"247,469","582,216","3,009,963","866,134","742,414","342,725","405,188","414,417","182,010","33,811","17,195","4,698","1,371"
County,3/20/2020,34,NJ,34025,Monmouth County,"178,434","442,920","2,384,188","715,886","592,951","288,044","302,877","288,980","150,269","36,041","5,349","2,012","1,779"
County,3/20/2020,34,NJ,34027,Morris County,"147,816","346,412","1,695,594","435,012","460,087","180,716","241,090","261,332","90,823","14,812","7,414","1,251","3,057"
County,3/20/2020,34,NJ,34029,Ocean County,"166,385","435,266","2,242,301","600,457","579,146","251,937","316,317","284,041","134,268","63,294","8,541","1,972","2,328"
County,3/20/2020,34,NJ,34031,Passaic County,"151,000","352,310","1,828,931","540,911","450,243","206,383","268,893","273,639","67,505","10,952","6,671","2,307","1,427"
County,3/20/2020,34,NJ,34033,Salem County,"16,899","45,708","237,696","57,471","45,573","29,154","40,571","46,022","13,482","3,051","2,012",262,98
County,3/20/2020,34,NJ,34035,Somerset County,"97,313","233,851","1,126,245","280,169","284,466","135,616","168,416","161,687","77,215","12,914","3,751",569,"1,442"
County,3/20/2020,34,NJ,34037,Sussex County,"36,363","104,436","515,793","125,859","121,022","52,987","72,522","83,876","46,689","9,895","1,928",404,611
County,3/20/2020,34,NJ,34039,Union County,"173,994","384,073","2,106,672","701,263","536,564","211,914","265,451","269,342","80,868","23,415","11,581","3,544","2,730"
County,3/20/2020,34,NJ,34041,Warren County,"27,405","78,374","385,881","96,332","91,739","42,066","47,230","61,732","30,673","13,363","1,822",366,558
County,3/21/2020,34,NJ,34015,Gloucester County,"91,850","199,558","987,553","246,800","258,830","125,396","151,624","143,704","39,059","12,398","8,227","1,136",379
County,3/21/2020,34,NJ,34017,Hudson County,"285,467","390,594","1,991,440","770,864","581,929","189,610","211,207","160,478","46,217","14,716","12,308","2,390","1,721"
County,3/21/2020,34,NJ,34019,Hunterdon County,"35,345","89,369","459,021","117,113","102,849","50,555","77,874","73,373","25,484","8,338","2,262",488,685
County,3/21/2020,34,NJ,34021,Mercer County,"122,517","247,294","1,277,278","381,910","383,882","164,151","159,596","117,299","43,319","16,041","7,878","1,512","1,690"
County,3/21/2020,34,NJ,34023,Middlesex County,"276,619","553,066","2,801,317","830,243","734,796","348,153","390,438","317,726","131,831","26,848","13,046","6,397","1,839"
County,3/21/2020,34,NJ,34025,Monmouth County,"199,517","421,837","2,128,481","648,260","581,652","274,460","276,847","208,813","98,211","28,789","7,292","2,207","1,950"
County,3/21/2020,34,NJ,34027,Morris County,"164,822","329,406","1,619,115","425,263","459,959","201,233","232,529","209,592","66,387","13,740","6,155","1,262","2,995"
County,3/21/2020,34,NJ,34029,Ocean County,"189,521","412,130","2,021,642","514,181","582,855","245,719","298,694","237,591","85,539","45,469","5,632","2,241","3,721"
County,3/21/2020,34,NJ,34031,Passaic County,"168,990","334,320","1,690,197","529,113","457,988","204,239","221,886","209,772","46,220","10,419","6,790","2,444","1,326"
County,3/21/2020,34,NJ,34033,Salem County,"18,400","44,207","225,720","57,749","49,094","32,290","35,259","38,327","9,397","1,778","1,545",244,37
County,3/21/2020,34,NJ,34035,Somerset County,"103,183","227,981","1,075,385","274,507","304,688","140,999","153,977","132,556","53,942","9,436","2,345",830,"2,105"
County,3/21/2020,34,NJ,34037,Sussex County,"41,561","99,238","461,882","111,632","112,779","54,156","71,923","72,684","29,417","6,601","1,569",457,664
County,3/21/2020,34,NJ,34039,Union County,"193,374","364,693","1,966,875","651,570","566,318","230,672","226,795","200,639","52,366","20,481","10,455","3,823","3,756"
County,3/21/2020,34,NJ,34041,Warren County,"30,664","75,115","353,774","93,491","87,409","46,948","43,986","49,301","19,459","10,357","1,479",585,759
County,3/21/2020,34,NJ,34001,Atlantic County,"85,916","179,513","891,429","245,544","228,612","106,300","158,946","100,650","31,020","14,383","4,534",868,572
County,3/21/2020,34,NJ,34003,Bergen County,"343,528","593,164","2,948,138","950,368","834,730","342,914","396,872","294,216","71,463","31,294","18,416","4,832","3,033"
County,3/21/2020,34,NJ,34005,Burlington County,"145,334","300,050","1,560,879","450,654","417,923","181,937","221,536","208,117","48,611","18,484","9,676","2,224","1,717"
County,3/21/2020,34,NJ,34007,Camden County,"175,732","331,346","1,766,724","569,494","476,175","218,936","242,638","190,933","42,691","14,029","9,361","1,384","1,083"
County,3/21/2020,34,NJ,34009,Cape May County,"34,813","57,747","312,062","93,790","81,276","42,588","50,235","27,303","10,511","3,497","2,013",445,404
County,3/21/2020,34,NJ,34011,Cumberland County,"42,417","108,555","566,555","144,207","170,542","76,845","83,309","63,569","22,534","3,131","1,989",224,205
County,3/21/2020,34,NJ,34013,Essex County,"284,888","514,879","2,710,047","924,466","758,091","325,814","321,425","275,036","65,689","21,926","11,376","3,073","3,151"
State,3/15/2020,34,NJ,,,"2,596,328","6,312,192","30,347,007","8,676,783","8,446,625","3,733,856","4,239,452","3,462,933","1,119,627","413,936","177,444","40,489","35,862"
State,3/16/2020,34,NJ,,,"2,331,727","6,576,793","34,365,861","9,709,805","8,648,203","3,992,416","4,811,817","4,763,276","1,686,742","526,279","161,086","33,542","32,695"
State,3/17/2020,34,NJ,,,"2,609,920","6,298,600","31,213,800","8,778,839","7,666,555","3,512,749","4,431,021","4,463,308","1,625,942","504,090","164,649","35,290","31,357"
State,3/18/2020,34,NJ,,,"2,759,853","6,148,667","31,752,655","9,071,823","7,783,697","3,542,523","4,511,130","4,506,747","1,599,997","505,502","168,995","36,009","26,232"
State,3/19/2020,34,NJ,,,"2,855,720","6,052,800","29,993,140","8,527,610","7,397,892","3,392,619","4,282,080","4,210,260","1,505,486","448,603","160,357","39,369","28,864"
State,3/20/2020,34,NJ,,,"2,736,621","6,171,899","32,253,374","9,533,311","8,213,173","3,661,940","4,467,750","4,223,435","1,492,488","433,341","160,395","38,472","29,069"
State,3/21/2020,34,NJ,,,"3,034,458","5,874,062","29,815,515","9,031,218","8,232,377","3,603,916","4,027,597","3,331,680","1,039,367","332,153","144,349","39,066","33,792"
County,3/22/2020,34,NJ,34001,Atlantic County,"87,941","177,488","669,916","182,861","183,634","69,600","116,124","78,483","23,206","10,457","4,110",802,639
County,3/22/2020,34,NJ,34003,Bergen County,"339,054","597,638","2,248,670","708,008","636,440","258,526","284,891","251,966","58,106","25,802","16,189","5,768","2,974"
County,3/22/2020,34,NJ,34005,Burlington County,"146,540","298,844","1,173,779","325,690","334,739","127,676","164,817","149,776","42,966","15,152","9,113","2,432","1,418"
County,3/22/2020,34,NJ,34007,Camden County,"175,082","331,996","1,301,087","401,606","371,676","157,703","173,825","134,148","36,692","14,054","8,956","1,302","1,125"
County,3/22/2020,34,NJ,34009,Cape May County,"34,171","58,389","222,159","61,586","59,448","27,762","39,097","22,830","6,725","2,925","1,286",212,288
County,3/22/2020,34,NJ,34011,Cumberland County,"45,738","105,234","433,255","116,955","138,537","48,514","60,837","45,148","15,290","3,939","3,485",344,206
County,3/22/2020,34,NJ,34013,Essex County,"284,337","515,430","2,031,807","685,054","581,537","239,459","245,337","195,464","51,006","19,284","9,291","2,942","2,433"
County,3/22/2020,34,NJ,34015,Gloucester County,"92,469","198,939","750,175","199,706","206,422","90,117","111,832","99,467","25,680","7,806","7,692","1,130",323
County,3/22/2020,34,NJ,34017,Hudson County,"277,871","398,190","1,450,631","520,484","434,961","142,782","157,788","127,819","36,986","15,876","9,345","3,221","1,369"
