Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
12/28/2019,Ocean County,"121,317","478,495","2,554,878"
12/28/2019,Passaic County,"115,004","386,768","2,107,940"
12/23/2019,,"1,769,926","7,111,367","42,296,310"
12/24/2019,,"1,843,790","7,037,503","40,294,034"
12/25/2019,,"2,158,494","6,722,799","29,306,592"
12/26/2019,,"1,964,623","6,916,670","35,337,739"
12/27/2019,,"1,861,285","7,020,008","37,222,788"
12/28/2019,,"1,981,789","6,899,504","37,170,679"
12/29/2019,Atlantic County,"73,311","191,307","847,668"
12/29/2019,Bergen County,"239,796","694,033","3,175,499"
12/29/2019,Burlington County,"109,812","334,211","1,495,027"
12/29/2019,Camden County,"142,043","363,485","1,692,943"
12/29/2019,Cape May County,"29,309","62,968","249,882"
12/29/2019,Cumberland County,"39,830","110,681","502,396"
12/29/2019,Essex County,"239,193","558,129","2,668,257"
12/29/2019,Gloucester County,"72,548","217,969","998,635"
12/29/2019,Hudson County,"229,249","444,746","1,998,546"
12/29/2019,Hunterdon County,"25,705","98,628","422,626"
12/29/2019,Mercer County,"99,425","269,256","1,346,035"
12/29/2019,Middlesex County,"205,157","621,992","2,821,697"
12/29/2019,Monmouth County,"148,339","471,116","2,046,722"
12/29/2019,Morris County,"118,229","374,488","1,679,700"
12/29/2019,Ocean County,"146,804","453,008","2,063,918"
12/29/2019,Passaic County,"131,111","370,661","1,765,468"
12/29/2019,Salem County,"16,502","45,914","202,112"
12/29/2019,Somerset County,"73,880","256,272","1,072,316"
12/29/2019,Sussex County,"32,021","108,348","485,056"
12/29/2019,Union County,"146,985","409,376","2,031,727"
12/29/2019,Warren County,"25,171","80,285","428,709"
12/30/2019,Atlantic County,"61,934","202,684","880,731"
12/30/2019,Bergen County,"198,976","734,853","3,361,576"
12/30/2019,Burlington County,"91,024","352,999","1,546,051"
12/30/2019,Camden County,"118,100","387,428","1,866,952"
12/30/2019,Cape May County,"24,420","67,857","276,999"
12/30/2019,Cumberland County,"33,798","116,713","538,827"
12/30/2019,Essex County,"208,380","588,942","2,893,499"
12/30/2019,Gloucester County,"59,458","231,059","1,018,474"
12/30/2019,Hudson County,"202,355","471,640","2,192,789"
